Date	Chl-a	SS_A_H-C	SS_A_O-C	SS_B_H-C	SS_B_O-C	SS_C_H-C	SS_C_O-C	SML_A_H-C	SML_A_O-C	SML_B_H-C	SML_B_O-C	SML_C_H-C	SML_C_O-C
05/06/2019	1.1	1.222383723	0.564720458	1.289668161	0.461302666	1.374409359	0.346403045	1.223830206	0.566391671	1.29244693	0.460966924	1.404037011	0.341047557
06/06/2019	1.975	1.222881205	0.560316821	1.289416221	0.460926152	1.37226504	0.348603981	1.222665774	0.566479849	1.290492105	0.459910718	1.43200929	0.323421946
07/06/2019	1.04	1.223709285	0.564101375	1.291635572	0.460624261	1.376300315	0.348036555	1.227898847	0.564451967	1.29446367	0.459404512	1.40824501	0.334709636
08/06/2019	1.47	1.224420321	0.563792075	1.292107832	0.461241168	1.379349814	0.344268069	1.226352923	0.56395301	1.296735782	0.458806259	1.43737237	0.333092995
09/06/2019	1.44	1.225189045	0.565254437	1.293113941	0.460234718	1.377273173	0.347316334	1.22827352	0.563515266	1.295944227	0.45926654	1.413239789	0.332393651
10/06/2019	1.455	1.224661644	0.56465285	1.293380967	0.460425758	1.377404245	0.347078065	1.227654132	0.563523128	1.294172326	0.459564969	1.407287444	0.340600223
12/06/2019	1.455	1.224787924	0.562169875	1.292270494	0.460982145	1.376496058	0.34552148	1.226300164	0.564593275	1.294649401	0.458620366	1.420157494	0.336873829
17/06/2019	1.795	1.224082588	0.564220818	1.292196795	0.461242135	1.375166229	0.347196999	1.228987211	0.564611127	1.297627413	0.459215919	1.442745215	0.321279643
18/06/2019	1.885	1.225025958	0.565969104	1.29352455	0.460912831	1.376903684	0.345910213	1.229601328	0.562964722	1.29832816	0.45860181	1.446898944	0.323335345
20/06/2019	2.68	1.227898402	0.56134743	1.293979946	0.459523738	1.378094999	0.345724416	1.227661613	0.565308368	1.297472567	0.458872449	1.436471653	0.331992113
21/06/2019	2.665	1.22754927	0.563014693	1.295226028	0.461306756	1.378768582	0.348629868	1.229282361	0.564042576	1.297942441	0.458694554	1.442682208	0.324106861
